
days	0.065449337991
previous	0.0574799254441
number	0.0574799254441
coming	0.0574799254441
It	0.0574799254441
Gregorian	0.0574799254441
Emperor	0.0574799254441
the	0.0398470627347
July	0.0364875445547
named	0.0327246689955
eighth	0.0327246689955
and	0.0327246689955
Caesar	0.0327246689955
Augustus	0.0327246689955
31	0.0327246689955
year	0.0182437722774
calendar	0.0182437722774
September	0.0182437722774
Roman	0.0182437722774
month	0.0159388250939
August	0.0

BC	0.0516220130633
beginning	0.0453362792235
January	0.0453362792235
the	0.0345715361191
eighth	0.0258110065317
writers	0.0226681396117
when	0.0226681396117
was	0.0226681396117
start	0.0226681396117
sixth	0.0226681396117
old	0.0226681396117
moved	0.0226681396117
months	0.0226681396117
first	0.0226681396117
end	0.0226681396117
disagree	0.0226681396117
determined	0.0226681396117
decemvirs	0.0226681396117
called	0.0226681396117
began	0.0226681396117
because	0.0226681396117
This	0.0226681396117
Sextilis	0.0226681396117
Romulus	0.0226681396117
Pompilius	0.0226681396117
Or	0.0226681396117
October	0.0226681396117
Numa	0.0226681396117
March	0.0226681396117
Latin	0.0226681396117
King	0.0226681396117
735	0.0226681396117
700	0.0226681396117
450	0.0226681396117
153	0.0226681396117
1	0.0226681396117
year	0.0215841812859
Roman	0.0215841812859
calendar	0.0143894541906
two	0.0129055032658
added	0.0129055032658
In	0.0129055032658
February	0.0129055032658
month	0.0125714676797
The	0.0071947270953
.	0.0071947270953
August	0.0

days	0.0631924642672
Caesar	0.0631924642672
this	0.0554978590495
he	0.0554978590495
created	0.0554978590495
consul	0.0554978590495
before	0.0554978590495
became	0.0554978590495
after	0.0554978590495
Julius	0.0554978590495
Julian	0.0554978590495
45	0.0554978590495
two	0.0315962321336
named	0.0315962321336
added	0.0315962321336
BC	0.0315962321336
Augustus	0.0315962321336
31	0.0315962321336
calendar	0.0176146766816
The	0.0176146766816
September	0.0176146766816
Roman	0.0176146766816
July	0.0176146766816
month	0.0153892104355
August	0.0

hemisphere	0.096566274746
day	0.096566274746
week	0.0643775164974
is	0.0643775164974
In	0.036651629275
February	0.036651629275
years	0.0321887582487
winter	0.0321887582487
though	0.0321887582487
summer	0.0321887582487
starts	0.0321887582487
seasonal	0.0321887582487
no	0.0321887582487
leap	0.0321887582487
it	0.0321887582487
in	0.0321887582487
equivalent	0.0321887582487
ends	0.0321887582487
either	0.0321887582487
common	0.0321887582487
begins	0.0321887582487
always	0.0321887582487
a	0.0321887582487
Southern	0.0321887582487
November	0.0321887582487
Northern	0.0321887582487
the	0.031240097184
month	0.0133886130789
year	0.0102165124753
.	0.0102165124753
August	0.0

23	0.134119826036
signs	0.0670599130181
peridot	0.0670599130181
flower	0.0670599130181
birthstone	0.0670599130181
astrological	0.0670599130181
Virgo	0.0670599130181
Leo	0.0670599130181
Gladiolus	0.0670599130181
24	0.0670599130181
22	0.0670599130181
'	0.0670599130181
and	0.0381787804948
The	0.0212844009902
September	0.0212844009902
July	0.0212844009902
.	0.0212844009902
the	0.0185952959429
August	0.0
